co_ibge,co_cnes,endereco_completo,no_logradouro,nu_endereco,no_bairro,co_cep,municipio,uf,lat,long
261160,396,"AV PROFESSOR MORAES REGO, 1235, CIDADE UNIVERSITARIA, Recife, PE, 50740900",AV PROFESSOR MORAES REGO,1235,CIDADE UNIVERSITARIA,50740900,Recife,PE,-8.0475018039,-34.9461364746
261160,418,"ESTRADA DO ARRAIAL, 2723, CASA AMARELA, Recife, PE, 52051380",ESTRADA DO ARRAIAL,2723,CASA AMARELA,52051380,Recife,PE,-8.030155,-34.9070110917
261160,426,"RUA APRIGIO GUIMARAES, S/N, TEJIPIO, Recife, PE, 50920592",RUA APRIGIO GUIMARAES,S/N,TEJIPIO,50920592,Recife,PE,-8.0874005086,-34.962208271
261160,434,"RUA DOS COELHOS, 300, BOA VISTA, Recife, PE, 50070555",RUA DOS COELHOS,300,BOA VISTA,50070555,Recife,PE,-8.0668036658,-34.8907971382
261160,477,"RUA ARNOBIO MARQUES, 310, SANTO AMARO, Recife, PE, 50100130",RUA ARNOBIO MARQUES,310,SANTO AMARO,50100130,Recife,PE,-8.0475894451,-34.8876616359
261160,485,"AV MAURICIO DE NASSAU, 2075, IPUTINGA, Recife, PE, 50731490",AV MAURICIO DE NASSAU,2075,IPUTINGA,50731490,Recife,PE,-8.05888,-34.8897081614
261160,507,"PRACA DA PAZ, S/N, AFOGADOS, Recife, PE, 50770100",PRACA DA PAZ,S/N,AFOGADOS,50770100,Recife,PE,-8.0807531,-34.9063223
261160,531,"PRACA DA PAZ, S/N, AFOGADOS, Recife, PE, 50770100",PRACA DA PAZ,S/N,AFOGADOS,50770100,Recife,PE,-8.0807531,-34.9063223
261160,558,"AV 17 DE AGOSTO, 2388, MONTEIRO, Recife, PE, 52061105",AV 17 DE AGOSTO,2388,MONTEIRO,52061105,Recife,PE,-8.0287438,-34.925607533
261160,566,"AV PARNAMIRIM, 095, PARNAMIRIM, Recife, PE, 52060000",AV PARNAMIRIM,95,PARNAMIRIM,52060000,Recife,PE,-8.053833171,-34.8812699318
261160,582,"AVENIDA CRUZ CABUGA, 1597, SANTO AMARO, Recife, PE, 50040000",AVENIDA CRUZ CABUGA,1597,SANTO AMARO,50040000,Recife,PE,-8.041297818,-34.8733735085
261160,590,"ESTRADA DOS REMEDIOS, 2416, MADALENA, Recife, PE, 50720715",ESTRADA DOS REMEDIOS,2416,MADALENA,50720715,Recife,PE,-8.0588024,-34.9068717259
261160,604,"RUA IGUATU, S/N, CAMPINA DO BARRETO, Recife, PE, 52121030",RUA IGUATU,S/N,CAMPINA DO BARRETO,52121030,Recife,PE,-8.0163644,-34.8825373
261160,612,"RUA CONEGO BARATA, S/N, TAMARINEIRA, Recife, PE, 52051020",RUA CONEGO BARATA,S/N,TAMARINEIRA,52051020,Recife,PE,-8.0295267,-34.9004764
261160,620,"RUA MARQUES DO POMBAL, 115, SANTO AMARO, Recife, PE, 50100170",RUA MARQUES DO POMBAL,115,SANTO AMARO,50100170,Recife,PE,-8.056,-34.89
261160,639,"ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS, 1350, TORROES, Recife, PE, 50721110",ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS,1350,TORROES,50721110,Recife,PE,-8.0529601,-34.9286302
261160,647,"RUA JAPARATUBA, 260, VASCO DA GAMA, Recife, PE, 52280510",RUA JAPARATUBA,260,VASCO DA GAMA,52280510,Recife,PE,-8.01941185,-34.919800228
